symbol,status,fetched_at,n_quarters,attempts
A,ok,2026-06-11,106,0
AAPL,ok,2026-06-11,121,0
ABBV,retry,2026-06-11,0,1
ABNB,ok,2026-06-11,25,0
ABT,ok,2026-06-11,121,0
ACGL,retry,2026-06-11,0,1
ACN,retry,2026-06-11,0,1
ADBE,ok,2026-06-11,120,0
ADI,ok,2026-06-11,121,0
ADM,ok,2026-06-11,121,0
ADP,ok,2026-06-11,121,0
ADSK,ok,2026-06-11,122,0
AEE,ok,2026-06-11,121,0
AEP,ok,2026-06-11,121,0
AES,ok,2026-06-13,119,0
AFL,ok,2026-06-13,121,0
AIG,ok,2026-06-13,121,0
AIZ,ok,2026-06-13,90,0
AJG,ok,2026-06-13,121,0
AKAM,ok,2026-06-13,106,0
ALB,ok,2026-06-13,121,0
ALGN,ok,2026-06-13,101,0
ALL,ok,2026-06-13,121,0
ALLE,ok,2026-06-13,51,0
AMAT,ok,2026-06-13,121,0
AMCR,ok,2026-06-13,34,0
AMD,ok,2026-06-13,121,0
AME,ok,2026-06-13,115,0
AMGN,ok,2026-06-13,121,0
AMP,ok,2026-06-14,83,0
AMT,ok,2026-06-14,113,0
AMZN,ok,2026-06-14,116,0
ANET,ok,2026-06-14,48,0
ANSS,ok,2026-06-14,118,0
AON,ok,2026-06-14,121,0
AOS,ok,2026-06-14,121,0
APA,ok,2026-06-14,121,0
APD,ok,2026-06-14,121,0
APH,ok,2026-06-14,121,0
APO,ok,2026-06-14,63,0
APP,ok,2026-06-14,22,0
APTV,ok,2026-06-14,59,0
ARE,ok,2026-06-14,113,0
ARES,ok,2026-06-14,48,0
ATO,ok,2026-06-15,121,0
AVB,ok,2026-06-15,113,0
AVGO,ok,2026-06-15,68,0
AVY,ok,2026-06-15,121,0
AWK,ok,2026-06-15,73,0
AXON,ok,2026-06-15,99,0
AXP,ok,2026-06-15,121,0
AZO,ok,2026-06-15,103,0
BA,ok,2026-06-15,121,0
BAC,ok,2026-06-15,121,0
BALL,ok,2026-06-15,116,0
BAX,ok,2026-06-15,121,0
BBY,ok,2026-06-15,117,0
BDX,ok,2026-06-15,121,0
BEN,ok,2026-06-15,121,0
BF.B,retry,2026-06-16,0,1
BG,ok,2026-06-16,99,0
BIIB,ok,2026-06-16,121,0
BKNG,ok,2026-06-16,109,0
BKR,ok,2026-06-16,121,0
BLDR,ok,2026-06-16,84,0
BLK,ok,2026-06-16,106,0
BMY,ok,2026-06-16,121,0
BNY,ok,2026-06-16,113,0
BR,ok,2026-06-16,77,0
BRK.B,retry,2026-06-16,0,1
BRO,ok,2026-06-16,121,0
BSX,ok,2026-06-16,121,0
BWA,ok,2026-06-16,121,0
BX,ok,2026-06-16,76,0
BXP,ok,2026-06-16,113,0
C,ok,2026-06-16,121,0
CAG,ok,2026-06-16,121,0
CAH,ok,2026-06-16,120,0
CARR,ok,2026-06-16,26,0
CASY,ok,2026-06-16,122,0
CAT,ok,2026-06-16,121,0
CB,ok,2026-06-16,121,0
CBOE,ok,2026-06-16,64,0
CBRE,ok,2026-06-16,105,0
CCI,ok,2026-06-16,111,0
CCL,ok,2026-06-16,121,0
CDNS,ok,2026-06-16,121,0
CDW,ok,2026-06-16,52,0
CE,ok,2026-06-16,86,0
CEG,ok,2026-06-17,19,0
CF,ok,2026-06-17,84,0
CFG,ok,2026-06-17,47,0
CHD,ok,2026-06-17,121,0
CHRW,ok,2026-06-17,114,0
CHTR,ok,2026-06-17,66,0
CI,ok,2026-06-17,121,0
CIEN,ok,2026-06-17,117,0
CINF,ok,2026-06-17,121,0
CL,ok,2026-06-17,121,0
CLX,ok,2026-06-17,121,0
CMCSA,ok,2026-06-17,121,0
CME,ok,2026-06-17,94,0
CMG,ok,2026-06-17,82,0
CMI,ok,2026-06-17,121,0
CMS,ok,2026-06-18,121,0
CNC,ok,2026-06-18,98,0
CNP,ok,2026-06-18,121,0
COF,ok,2026-06-18,121,0
COHR,ok,2026-06-18,121,0
COIN,ok,2026-06-18,30,0
COO,ok,2026-06-18,116,0
COP,ok,2026-06-18,121,0
COR,ok,2026-06-18,114,0
COST,ok,2026-06-18,101,0
CPAY,ok,2026-06-18,62,0
CPB,ok,2026-06-18,122,0
CPRT,ok,2026-06-18,121,0
CPT,ok,2026-06-18,113,0
CRH,ok,2026-06-18,60,0
CRL,ok,2026-06-19,104,0
CRM,ok,2026-06-19,88,0
CRWD,ok,2026-06-19,30,0
CSCO,ok,2026-06-19,122,0
CSGP,ok,2026-06-19,111,0
CSX,ok,2026-06-19,121,0
CTAS,ok,2026-06-19,121,0
CTRA,retry,2026-06-19,0,1
CTSH,ok,2026-06-19,112,0
CTVA,ok,2026-06-19,31,0
CVNA,ok,2026-06-19,38,0
CVS,ok,2026-06-19,121,0
CVX,ok,2026-06-19,121,0
CZR,ok,2026-06-19,110,0
D,ok,2026-06-19,119,0
DAL,ok,2026-06-20,121,0
DASH,ok,2026-06-20,26,0
DAY,retry,2026-06-20,0,1
DD,ok,2026-06-20,113,0
DDOG,ok,2026-06-20,28,0
DE,ok,2026-06-20,121,0
DECK,ok,2026-06-20,121,0
DELL,ok,2026-06-20,39,0
DFS,retry,2026-06-20,0,1
DG,ok,2026-06-20,111,0
DGX,ok,2026-06-20,118,0
DHI,ok,2026-06-20,121,0
DHR,ok,2026-06-20,121,0
