symbol,report_date
A,2000-02-17
A,2000-05-16
A,2000-08-17
A,2000-11-20
A,2001-02-20
A,2001-05-17
A,2001-08-20
A,2001-11-15
A,2002-02-19
A,2002-05-16
A,2002-08-19
A,2002-11-18
A,2003-02-21
A,2003-05-19
A,2003-08-18
A,2003-11-17
A,2004-02-17
A,2004-05-17
A,2004-08-12
A,2004-11-11
A,2005-02-14
A,2005-05-16
A,2005-08-15
A,2005-11-14
A,2006-02-13
A,2006-05-15
A,2006-08-14
A,2006-11-14
A,2007-02-15
A,2007-05-14
A,2007-08-14
A,2007-11-15
A,2008-02-13
A,2008-05-14
A,2008-08-14
A,2008-11-14
A,2009-02-17
A,2009-05-14
A,2009-08-17
A,2009-11-13
A,2010-02-12
A,2010-05-17
A,2010-08-16
A,2010-11-12
A,2011-02-14
A,2011-05-13
A,2011-08-15
A,2011-11-15
A,2012-02-15
A,2012-05-14
A,2012-08-15
A,2012-11-19
A,2013-02-14
A,2013-05-14
A,2013-08-14
A,2013-11-14
A,2014-02-13
A,2014-05-14
A,2014-08-14
A,2014-11-17
A,2015-02-17
A,2015-05-18
A,2015-08-17
A,2015-11-16
A,2016-02-16
A,2016-05-16
A,2016-08-17
A,2016-11-15
A,2017-02-14
A,2017-05-22
A,2017-08-15
A,2017-11-20
A,2018-02-14
A,2018-05-14
A,2018-08-14
A,2018-11-19
A,2019-02-20
A,2019-05-14
A,2019-08-14
A,2019-11-25
A,2020-02-18
A,2020-05-21
A,2020-08-18
A,2020-11-23
A,2021-02-16
A,2021-05-25
A,2021-08-17
A,2021-11-22
A,2022-02-22
A,2022-05-24
A,2022-08-16
A,2022-11-21
A,2023-02-28
A,2023-05-23
A,2023-08-15
A,2023-11-20
A,2024-02-27
A,2024-05-29
A,2024-08-21
A,2024-11-25
A,2025-02-26
A,2025-05-28
A,2025-08-27
A,2025-11-24
A,2026-02-25
A,2026-05-27
AAPL,1996-04-17
AAPL,1996-07-17
AAPL,1996-10-16
AAPL,1997-01-15
AAPL,1997-04-16
AAPL,1997-07-16
AAPL,1997-10-15
AAPL,1998-01-14
AAPL,1998-04-15
AAPL,1998-07-15
AAPL,1998-10-14
AAPL,1999-01-13
AAPL,1999-04-14
AAPL,1999-07-14
AAPL,1999-10-13
AAPL,2000-01-19
AAPL,2000-04-19
AAPL,2000-07-18
AAPL,2000-10-18
AAPL,2001-01-17
AAPL,2001-04-18
AAPL,2001-07-18
AAPL,2001-10-17
AAPL,2002-01-16
AAPL,2002-04-17
AAPL,2002-07-16
AAPL,2002-10-16
AAPL,2003-01-15
AAPL,2003-04-16
AAPL,2003-07-16
AAPL,2003-10-15
AAPL,2004-01-14
AAPL,2004-04-14
AAPL,2004-07-14
AAPL,2004-10-13
AAPL,2005-01-12
AAPL,2005-04-13
AAPL,2005-07-13
AAPL,2005-10-11
AAPL,2006-01-18
AAPL,2006-04-19
AAPL,2006-07-19
AAPL,2006-10-18
AAPL,2007-01-17
AAPL,2007-04-25
AAPL,2007-07-25
AAPL,2007-10-22
AAPL,2008-01-22
AAPL,2008-04-23
AAPL,2008-07-21
AAPL,2008-10-21
AAPL,2009-01-21
AAPL,2009-04-22
AAPL,2009-07-21
AAPL,2009-10-19
AAPL,2010-01-25
AAPL,2010-04-20
AAPL,2010-07-20
AAPL,2010-10-18
AAPL,2011-01-18
AAPL,2011-04-20
AAPL,2011-07-19
AAPL,2011-10-18
AAPL,2012-01-24
AAPL,2012-04-24
AAPL,2012-07-24
AAPL,2012-10-25
AAPL,2013-01-23
AAPL,2013-04-23
AAPL,2013-07-23
AAPL,2013-10-28
AAPL,2014-01-27
AAPL,2014-04-23
AAPL,2014-07-22
AAPL,2014-10-20
AAPL,2015-01-27
AAPL,2015-04-27
AAPL,2015-07-21
AAPL,2015-10-27
AAPL,2016-01-26
AAPL,2016-04-26
AAPL,2016-07-26
AAPL,2016-10-25
AAPL,2017-01-31
AAPL,2017-05-02
AAPL,2017-08-01
AAPL,2017-11-02
AAPL,2018-02-01
AAPL,2018-05-01
AAPL,2018-07-31
AAPL,2018-11-01
AAPL,2019-01-29
AAPL,2019-04-30
AAPL,2019-07-30
AAPL,2019-10-30
AAPL,2020-01-28
AAPL,2020-04-30
AAPL,2020-07-30
AAPL,2020-10-29
AAPL,2021-01-27
AAPL,2021-04-28
AAPL,2021-07-27
AAPL,2021-10-28
AAPL,2022-01-27
AAPL,2022-04-28
AAPL,2022-07-28
AAPL,2022-10-27
AAPL,2023-02-02
AAPL,2023-05-04
AAPL,2023-08-03
AAPL,2023-11-02
AAPL,2024-02-01
AAPL,2024-05-02
AAPL,2024-08-01
AAPL,2024-10-31
AAPL,2025-01-30
AAPL,2025-05-01
AAPL,2025-07-31
AAPL,2025-10-30
AAPL,2026-01-29
AAPL,2026-04-30
ABNB,2019-09-30
ABNB,2020-09-02
ABNB,2020-11-16
ABNB,2021-02-25
ABNB,2021-05-13
ABNB,2021-08-12
ABNB,2021-11-04
ABNB,2022-02-15
ABNB,2022-05-03
ABNB,2022-08-02
ABNB,2022-11-01
ABNB,2023-02-14
ABNB,2023-05-09
ABNB,2023-08-03
ABNB,2023-11-01
ABNB,2024-02-13
ABNB,2024-05-08
ABNB,2024-08-06
ABNB,2024-11-07
ABNB,2025-02-13
ABNB,2025-05-01
ABNB,2025-08-06
ABNB,2025-11-06
ABNB,2026-02-12
ABNB,2026-05-07
ABT,1996-04-08
ABT,1996-07-10
ABT,1996-10-08
ABT,1997-01-16
ABT,1997-04-09
ABT,1997-07-10
ABT,1997-10-08
ABT,1998-01-16
ABT,1998-04-09
ABT,1998-07-09
ABT,1998-10-08
ABT,1999-01-15
ABT,1999-04-08
ABT,1999-07-09
ABT,1999-10-11
ABT,2000-01-18
ABT,2000-04-11
ABT,2000-07-12
ABT,2000-10-10
ABT,2001-01-16
ABT,2001-04-12
ABT,2001-07-12
ABT,2001-10-10
ABT,2002-01-16
ABT,2002-04-09
ABT,2002-07-11
ABT,2002-10-09
ABT,2003-01-16
ABT,2003-04-09
ABT,2003-07-10
ABT,2003-10-09
ABT,2004-01-16
ABT,2004-04-08
ABT,2004-07-09
ABT,2004-10-14
ABT,2005-01-18
ABT,2005-04-12
ABT,2005-07-13
ABT,2005-10-19
ABT,2006-01-25
ABT,2006-04-19
ABT,2006-07-19
ABT,2006-10-18
ABT,2007-01-24
ABT,2007-04-18
ABT,2007-07-18
ABT,2007-10-17
ABT,2008-01-23
ABT,2008-04-16
ABT,2008-07-16
ABT,2008-10-15
ABT,2009-01-21
ABT,2009-04-15
ABT,2009-07-15
ABT,2009-10-14
ABT,2010-01-27
ABT,2010-04-21
ABT,2010-07-21
ABT,2010-10-20
ABT,2011-01-26
ABT,2011-04-20
ABT,2011-07-20
ABT,2011-10-19
ABT,2012-01-25
